date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:06	102994/102994	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/05/tour3.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/05/tour3.jpg	(from http://shtheme.net/demosd/cruise/)
21:42:08	168031/168031	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202019%2014:41:56%20GMT	http://shtheme.net/demosd/cruise/?page_id=155	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/indexcbbc.html	(from http://shtheme.net/demosd/cruise/)
21:42:12	174943/174943	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/05/tour1.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/05/tour1.jpg	(from http://shtheme.net/demosd/cruise/)
21:42:14	1469/1469	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/themes/cruise/assets/images/tripadvisor.png	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/themes/cruise/assets/images/tripadvisor.png	(from http://shtheme.net/demosd/cruise/)
21:42:18	175144/175144	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202019%2014:42:09%20GMT	http://shtheme.net/demosd/cruise/?page_id=156	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/index3bb3.html	(from http://shtheme.net/demosd/cruise/)
21:42:36	163343/163343	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/05/tour4.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/05/tour4.jpg	(from http://shtheme.net/demosd/cruise/)
21:42:36	235433/235433	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/05/tour2.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/05/tour2.jpg	(from http://shtheme.net/demosd/cruise/)
21:42:46	168003/168003	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202019%2014:42:36%20GMT	http://shtheme.net/demosd/cruise/?page_id=157	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/index798a.html	(from http://shtheme.net/demosd/cruise/)
21:42:56	252587/252587	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/05/tour12.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/05/tour12.jpg	(from http://shtheme.net/demosd/cruise/)
21:43:04	157505/157505	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/05/home31.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/05/home31.jpg	(from http://shtheme.net/demosd/cruise/)
21:43:16	336050/336050	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/05/tour11.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/05/tour11.jpg	(from http://shtheme.net/demosd/cruise/)
21:43:29	174943/174943	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/06/tour1.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/06/tour1.jpg	(from http://shtheme.net/demosd/cruise/)
21:43:34	258361/258361	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/06/bg-image2.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/06/bg-image2.jpg	(from http://shtheme.net/demosd/cruise/)
21:43:37	102994/102994	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/06/tour3.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/06/tour3.jpg	(from http://shtheme.net/demosd/cruise/)
21:43:47	235433/235433	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/06/tour2.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/06/tour2.jpg	(from http://shtheme.net/demosd/cruise/)
21:43:47	62642/62642	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/06/offer4-1.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/06/offer4-1.jpg	(from http://shtheme.net/demosd/cruise/)
21:43:49	104795/104795	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/06/tour5.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/06/tour5.jpg	(from http://shtheme.net/demosd/cruise/)
21:43:50	78724/78724	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/06/offer3.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/06/offer3.jpg	(from http://shtheme.net/demosd/cruise/)
